YEAR,TEAM,4IN5-B2B GP,4IN5-B2B W%,4IN5-B2B AED,3IN4-B2B GP,3IN4-B2B W%,3IN4-B2B AED,B2B GP,B2B W%,B2B AED,3IN4 GP,3IN4 W%,3IN4 AED,1 DAY GP,1 DAY W%,1 DAY AED,2 DAYS GP,2 DAYS W%,2 DAYS AED,3+ DAYS GP,3+ DAYS W%,3+ DAYS AED
22-23,Dallas,0,0,0,9,0.333,1.9,4,0,-5.1,8,0.5,6.4,42,0.571,7.7,17,0.353,3.2,2,0.5,19.9
22-23,Denver,0,0,0,10,0.6,5.2,2,0.5,6.4,7,0.857,16.6,47,0.596,8.1,12,0.75,14.9,4,0.75,7.2
22-23,Detroit,0,0,0,11,0.273,-7.8,3,0,-10.9,13,0.077,-17,38,0.211,-11.6,12,0.25,-12.3,5,0.4,-6.8
22-23,Golden State,0,0,0,11,0.364,-9.3,4,0.75,8.8,11,0.455,-2.8,37,0.541,0.6,15,0.6,0.2,4,0.75,3.1
22-23,Houston,0,0,0,10,0,-22.7,3,0.667,1.5,11,0.273,-14.1,43,0.256,-14.9,11,0.364,-9.1,4,0.5,-7.4
22-23,Indiana,0,0,0,10,0.5,-3.4,4,0.5,-0.6,12,0.167,-11.5,39,0.41,-5.8,12,0.667,-0.8,5,0.4,0.3
22-23,LA Clippers,0,0,0,10,0.1,-15.8,5,0.8,3.5,12,0.667,2.4,39,0.564,1,10,0.4,-10.9,6,0.833,9.3
22-23,Memphis,0,0,0,8,0.375,-10.3,4,0.75,4.3,9,0.778,5.9,43,0.581,1.7,16,0.75,9.6,2,0.5,-6.3
22-23,Milwaukee,0,0,0,11,0.727,2.6,2,1,11.2,9,0.444,-5.1,45,0.733,6.4,10,0.7,6,5,0.8,5.4
22-23,New Orleans,0,0,0,7,0.143,-5.9,5,0.8,2,10,0.5,0.6,42,0.571,2.3,16,0.438,-0.6,2,0.5,4.9
22-23,New York,0,0,0,9,0.444,1.2,3,1,15.2,8,0.625,9.8,48,0.583,6.9,9,0.444,3.9,5,0.6,8.7
22-23,Oklahoma City,0,0,0,9,0.444,-2.3,4,0.25,-3.4,11,0.727,5.5,40,0.425,-2.1,15,0.6,5.4,3,0.333,4.2
22-23,Orlando,0,0,0,10,0.1,-9.8,3,0,-14.7,11,0.455,-3.9,46,0.478,-2.7,6,0.5,1.3,6,0.5,-0.1
22-23,Philadelphia,0,0,0,10,0.8,6.9,3,0.333,9.3,10,0.7,7.4,43,0.628,7.4,11,0.636,3.6,5,0.8,5.7
22-23,Phoenix,0,0,0,10,0.4,-4,2,1,7.7,9,0.444,0.7,44,0.591,6.9,14,0.429,-0.6,3,1,6.1
22-23,Portland,0,0,0,11,0.455,-0.9,3,0.667,13.2,10,0.2,-8.9,43,0.372,1.4,10,0.7,12.1,5,0.2,0.8
22-23,Sacramento,0,0,0,9,0.444,2.2,6,0.667,6.7,10,0.7,9,39,0.641,9.7,14,0.5,6.2,4,0.25,-3.5
22-23,San Antonio,0,0,0,11,0.182,-21.4,3,0,-21.6,9,0.222,-13,43,0.326,-13.2,11,0.182,-20.1,5,0.4,-13.5
22-23,Toronto,0,0,0,12,0.333,-1.2,0,0,0,9,0.556,2.3,47,0.532,5.6,9,0.444,7.4,5,0.6,0.5
22-23,Utah,0,0,0,12,0.25,1,3,0.333,-2.3,11,0.636,4.3,40,0.4,-0.7,10,0.5,1.1,6,0.833,5.2
22-23,Washington,1,0,-1.5,9,0.556,3.1,6,0.333,-1.6,11,0.636,0.1,35,0.4,-3.3,16,0.313,-4.8,4,0.5,-4.8
21-22,Atlanta,0,0,0,13,0.462,6.6,3,0.667,5.5,10,0.4,1.9,39,0.641,11.3,12,0.333,3.7,5,0.4,8.9
21-22,Boston,0,0,0,9,0.667,9.6,6,0.333,2.1,12,0.583,7.6,37,0.676,12.5,13,0.615,7.8,5,0.6,13.5
21-22,Brooklyn,1,0,-18.2,8,0.25,-8.3,5,0.2,-5.3,11,0.727,3.2,39,0.564,-0.6,15,0.667,-2,3,0.333,-15.1
21-22,Charlotte,0,0,0,12,0.167,-8.2,3,0,-11.9,13,0.692,3.1,36,0.583,-1.2,13,0.538,-4.9,5,0.8,1.2
21-22,Chicago,2,0,-2,10,0.7,3.4,5,0.4,-4.3,15,0.533,-0.1,36,0.583,4.3,9,0.333,-5.5,5,1,8.4
21-22,Cleveland,1,0,-5.4,12,0.5,-2.5,2,0.5,-4.2,13,0.692,7.4,38,0.579,4,10,0.5,4.5,6,0.167,2.9
21-22,Dallas,0,0,0,10,0.6,6,2,0.5,9.8,7,0.571,1.4,48,0.688,8.6,11,0.727,9.5,4,0,-10.8
21-22,Denver,1,0,-9.3,7,0.429,0.7,5,0.4,-2.6,8,0.5,1.7,45,0.667,8.9,12,0.5,3.8,4,0.75,14.1
21-22,Detroit,0,0,0,13,0.462,-15.6,0,0,0,9,0.222,-16.1,45,0.222,-14.1,10,0.3,-15.7,5,0.4,-8.4
21-22,Golden State,0,0,0,12,0.75,8.7,3,0.333,0,11,0.727,7.7,39,0.564,5.1,10,0.7,5.8,7,0.857,16.8
21-22,Houston,0,0,0,11,0.182,-17.3,2,0,-16,9,0.444,-9.3,44,0.25,-12.5,11,0.273,-10.8,5,0,-26
21-22,Indiana,0,0,0,10,0.5,2.1,4,0.25,-7.7,10,0.5,-1.5,43,0.233,-0.9,10,0.3,0.8,5,0.2,-3.9
21-22,LA Clippers,0,0,0,12,0.417,-1.3,2,0.5,21.7,12,0.583,3,40,0.525,-1.3,11,0.545,-2.2,5,0.4,-4.4
21-22,LA Lakers,0,0,0,9,0.333,-2.9,3,0,-5.9,11,0.545,-0.5,44,0.409,-8.3,10,0.4,-8.8,5,0.4,-5.5
21-22,Memphis,0,0,0,8,0.375,-2.4,6,0.667,6.4,9,0.778,13.2,40,0.725,7.6,16,0.75,8.2,3,0.333,-0.4
21-22,Miami,1,0,-4.3,10,0.3,1.4,3,0.667,3.2,11,0.727,9.3,39,0.615,6.8,15,0.867,14.8,3,1,27.9
21-22,Milwaukee,0,0,0,9,0.556,-0.4,5,0.6,1.7,11,0.545,7.7,41,0.683,3.2,10,0.6,3.7,6,0.5,9
21-22,Minnesota,0,0,0,9,0.444,-6.5,4,0.5,-6.2,8,0.75,9.7,44,0.523,-1.9,13,0.538,-0.6,4,1,7.2
21-22,New Orleans,1,1,18.3,11,0.182,-5.7,3,0,-10.3,9,0.333,-4.6,40,0.5,3,13,0.538,6.5,5,0.6,-0.3
21-22,New York,0,0,0,6,0.667,4,6,0.5,3.4,10,0.4,-3,43,0.372,-2.5,15,0.6,3.6,2,0.5,-9.3
21-22,Oklahoma City,0,0,0,12,0.083,-25.5,2,0.5,-13.8,9,0.444,-5.2,42,0.262,-15.3,12,0.5,-8.1,5,0.2,-15.5
21-22,Orlando,0,0,0,9,0.222,-19.3,7,0.143,-20.7,9,0.333,-11.3,37,0.297,-17.4,17,0.176,-17.1,3,0.667,-12.9
21-22,Philadelphia,0,0,0,9,0.556,0.6,2,0.5,3.6,8,0.75,4.5,48,0.604,6.2,11,0.545,-0.4,4,1,22.4
21-22,Phoenix,0,0,0,10,0.7,3.7,4,0.75,1.9,8,0.75,7.8,42,0.786,10.4,14,0.929,10.4,4,0.5,8.5
21-22,Portland,0,0,0,11,0.364,-13.1,4,0.5,2.2,11,0.364,-8.8,39,0.282,-13,13,0.462,-9.7,4,0,-16.7
21-22,Sacramento,0,0,0,11,0.364,-9.8,3,0.667,-4.4,10,0.3,-8.5,41,0.317,-10.2,12,0.5,-7,5,0.4,-11.7
21-22,San Antonio,0,0,0,11,0.455,-0.7,4,0.25,-5.5,8,0.25,-8.4,43,0.395,-3.3,11,0.636,11.2,5,0.4,-1.1
21-22,Toronto,3,0.667,7.6,9,0.667,4.7,5,0.6,4.2,13,0.385,5.4,36,0.639,7.9,12,0.667,8.6,4,0.25,-13.7
21-22,Utah,0,0,0,10,0.3,6.3,3,0.667,28,13,0.538,12.6,42,0.548,11.6,8,1,25.4,6,1,21.4
21-22,Washington,0,0,0,11,0.545,1.9,3,0.667,2.8,10,0.6,-0.3,41,0.366,-2,13,0.308,-5.2,4,0.5,0.7
20-21,Atlanta,,,,14,0.429,7.2,1,0,-4.3,12,0.667,9.1,35,0.6,8.4,5,0.6,16.6,5,0.6,4.7
20-21,Boston,,,,12,0.5,6.3,3,0,-4.3,13,0.462,1.9,34,0.5,3.1,7,0.714,17.5,3,0.667,8.2
20-21,Brooklyn,,,,9,0.444,-0.5,6,0.667,6.9,9,0.778,11.6,34,0.676,9.3,12,0.667,11.4,2,1,21.7
